X,Y,Z,Q,A
4.004,8.58,12.7128,100.403,0
4.862,10.296,-13.8354,95.1048,0
2.574,6.864,26.6925,84.5208,2
2.574,5.148,26.6925,84.5208,0
4.29,8.58,1.7319,36.04,0
4.576,8.58,-0.2085,345.45,0
2.86,6.864,26.7807,57.0084,2
2.86,5.148,26.7807,57.0084,0
3.146,6.864,25.8105,307.281,2
3.146,5.148,25.8105,307.281,0
4.862,8.58,-0.4731,6.65885,0
4.862,10.01,-11.6304,291.362,0
4.29,8.294,3.5841,132.312,0
4.29,8.294,-0.429,8.79984,0
5.148,10.01,-13.659,25.8733,0
4.576,8.294,2.4375,146.676,0
2.86,6.578,19.4601,46.3579,0
5.434,10.01,-5.6328,10.8199,0
4.576,8.294,-0.9582,28.48,0
2.86,6.578,27.354,28.5889,2
2.86,4.862,27.354,28.5889,0
3.146,6.578,26.8248,261.274,2
3.146,4.862,26.8248,261.274,0
3.146,6.578,19.5042,42.1908,0
3.432,6.578,27.8391,16.2268,2
3.432,4.862,27.8391,16.2268,0
4.862,9.724,-9.249,311.702,0
5.148,9.724,-7.3527,19.4564,0
2.86,6.292,29.4708,284.776,2
2.86,4.576,29.4708,284.776,0
3.146,6.292,19.4601,11.3098,0
3.432,6.292,19.5483,29.7622,0
3.432,6.292,17.9607,37.7153,0
2.002,6.006,20.6067,36.4755,2
3.718,6.006,20.6067,36.4755,0
2.002,6.006,18.4017,26.1092,0
4.576,9.438,-6.2943,22.1901,0
4.862,9.438,-7.3968,298.239,0
4.004,7.722,7.9059,65.3305,0
5.148,9.438,-7.3968,7.95312,0
3.432,6.006,19.6365,332.707,0
5.148,6.006,19.6365,332.707,2
4.576,9.152,-2.9868,42.1848,0
4.004,7.436,9.5817,242.712,0
4.862,9.152,-4.2216,229.655,0
4.29,7.436,8.1264,30.8206,0
3.432,5.72,21.621,347.101,0
5.148,5.72,21.621,347.101,2
3.718,7.15,-0.8259,183.26,0
4.004,7.15,11.6103,237.051,0
4.004,7.15,-2.3694,109.801,0
3.146,3.718,23.9142,178.259,2
3.146,5.434,23.9142,178.259,0
4.862,5.434,23.9142,178.259,2
3.432,5.434,22.5471,114.114,0
5.148,5.434,22.5471,114.114,2
