X,Y,Z,Q,A
3.718,5.148,-7.0881,70.4592,0
5.434,3.432,-7.0881,70.4592,2
5.434,5.148,26.9571,6.33226,0
5.434,5.148,25.9869,12.3863,0
4.004,5.148,-2.193,221.617,0
5.72,3.432,-2.193,221.617,2
5.72,5.148,26.3838,6.85843,0
4.29,5.148,3.4077,516.421,0
4.29,6.864,3.4077,516.421,2
6.006,3.432,3.4077,516.421,2
4.29,5.148,-2.5458,25.0992,0
6.006,3.432,-2.5458,25.0992,2
2.574,6.864,-28.6971,11.9811,0
0.858,6.006,-28.6971,11.9811,2
0.858,7.722,-28.6971,11.9811,2
4.576,5.148,6.627,404.732,0
4.576,6.864,6.627,404.732,2
2.86,6.864,-28.7412,11.8238,0
1.144,6.006,-28.7412,11.8238,2
1.144,7.722,-28.7412,11.8238,2
6.292,5.148,26.9571,3.64694,0
6.578,5.148,20.3421,44.8278,2
4.862,5.148,20.3421,44.8278,2
3.146,5.148,20.3421,44.8278,2
3.146,3.432,20.3421,44.8278,2
4.862,3.432,20.3421,44.8278,0
4.862,5.148,-3.3837,37.6548,0
6.578,3.432,-3.3837,37.6548,2
3.146,6.864,-31.6959,126.875,0
3.146,6.864,-28.9617,7.62048,2
1.43,6.006,-28.9617,7.62048,0
1.43,7.722,-28.9617,7.62048,2
6.578,5.148,25.9428,7.89264,0
3.432,6.864,-28.5648,266.596,2
1.716,6.006,-28.5648,266.596,0
1.716,7.722,-28.5648,266.596,2
6.864,5.148,26.9571,16.4324,0
5.434,4.862,19.6365,20.7325,2
3.718,4.862,19.6365,20.7325,2
2.002,4.862,19.6365,20.7325,2
2.002,3.146,19.6365,20.7325,2
3.718,3.146,19.6365,20.7325,0
5.72,4.862,19.5924,35.0905,2
4.004,4.862,19.5924,35.0905,2
2.288,4.862,19.5924,35.0905,2
2.288,3.146,19.5924,35.0905,2
4.004,3.146,19.5924,35.0905,0
4.004,4.862,-2.7222,6.4895,0
5.72,3.146,-2.7222,6.4895,2
4.29,4.862,-2.6781,30.1009,0
6.006,3.146,-2.6781,30.1009,2
6.006,4.862,19.5042,13.4508,2
2.574,4.862,19.5042,13.4508,2
2.574,3.146,19.5042,13.4508,2
4.29,3.146,19.5042,13.4508,0
4.29,4.862,19.5042,13.4508,2
4.576,4.862,7.9059,221.369,0
2.86,6.578,-27.3741,9.79171,0
1.144,5.72,-27.3741,9.79171,2
1.144,7.436,-27.3741,9.79171,2
4.862,4.862,10.3314,477.024,0
6.578,4.862,20.2098,43.8722,2
4.862,4.862,20.2098,43.8722,2
3.146,4.862,20.2098,43.8722,2
3.146,3.146,20.2098,43.8722,2
4.862,3.146,20.2098,43.8722,0
5.148,4.862,-3.4278,23.2485,0
6.864,3.146,-3.4278,23.2485,2
5.148,4.862,14.7855,115.94,0
5.434,4.576,19.8129,454.604,2
3.718,4.576,19.8129,454.604,0
2.002,4.576,19.8129,454.604,2
2.002,2.86,19.8129,454.604,2
3.718,2.86,19.8129,454.604,2
3.718,4.576,-3.3396,8.9208,0
5.434,2.86,-3.3396,8.9208,2
3.718,4.576,15.4029,10.8078,0
5.72,4.576,19.5924,22.7889,2
2.288,4.576,19.5924,22.7889,2
2.288,2.86,19.5924,22.7889,2
4.004,2.86,19.5924,22.7889,2
4.004,4.576,19.5924,22.7889,0
5.72,4.576,21.2241,10.0457,2
4.004,4.576,21.2241,10.0457,0
2.288,4.576,21.2241,10.0457,2
2.288,2.86,21.2241,10.0457,2
4.004,2.86,21.2241,10.0457,2
4.29,4.576,-2.8545,45.6926,0
6.006,2.86,-2.8545,45.6926,2
4.576,4.576,9.1407,14.4245,0
6.578,4.576,18.4899,40.703,2
3.146,4.576,18.4899,40.703,2
3.146,2.86,18.4899,40.703,2
4.862,2.86,18.4899,40.703,2
4.862,4.576,18.4899,40.703,0
4.862,4.576,9.0525,16.9828,0
4.862,4.576,13.1979,24.3916,0
6.864,4.576,15.2706,564.508,2
3.432,4.576,15.2706,564.508,2
3.432,2.86,15.2706,564.508,2
5.148,2.86,15.2706,564.508,2
5.148,4.576,15.2706,564.508,0
6.864,4.576,20.0334,32.2479,2
5.148,4.576,20.0334,32.2479,0
3.432,4.576,20.0334,32.2479,2
3.432,2.86,20.0334,32.2479,2
5.148,2.86,20.0334,32.2479,2
5.148,4.576,-3.4278,14.0556,0
6.864,2.86,-3.4278,14.0556,2
5.434,4.29,22.1061,302.521,0
3.718,4.29,22.1061,302.521,2
2.002,4.29,22.1061,302.521,2
2.002,2.574,22.1061,302.521,2
3.718,2.574,22.1061,302.521,2
2.002,6.006,-25.4337,286.584,0
