X,Y,Z,Q,A
4.576,1.716,11.8749,446.076,0
3.718,3.432,11.8749,446.076,2
4.862,1.716,12.4041,8.82403,0
4.004,3.432,12.4041,8.82403,2
6.006,1.716,10.3755,292.796,2
5.148,3.432,10.3755,292.796,0
4.576,1.43,17.6961,1076.13,0
3.718,3.146,17.6961,1076.13,2
2.86,3.146,-22.3026,10.2151,0
2.86,3.146,-32.2692,33.143,0
3.146,3.146,-27.9915,175.313,0
6.006,1.43,17.5197,59.6817,2
5.148,3.146,17.5197,59.6817,0
4.576,1.144,23.6055,174.279,0
4.576,1.144,17.652,23.5328,0
3.718,2.86,17.652,23.5328,2
4.862,1.144,27.3099,730.961,0
4.004,2.86,27.3099,730.961,2
2.86,2.86,-32.0487,272.341,0
4.862,2.86,-26.7567,511.286,2
3.146,2.86,-26.7567,511.286,0
5.148,2.86,-19.9212,369.134,2
3.432,2.86,-19.9212,369.134,0
6.006,1.144,17.6079,5.20733,2
5.148,2.86,17.6079,5.20733,0
3.718,2.574,-10.4838,515.374,0
2.002,2.574,-10.4838,515.374,2
3.718,2.574,-20.4063,66.5401,0
2.002,2.574,-20.4063,66.5401,2
4.862,0.858,29.2503,239.362,0
4.004,2.574,-3.6483,205.408,0
4.29,2.574,-3.2955,13.4568,0
5.148,2.574,-16.0845,424.691,2
3.432,2.574,-16.0845,424.691,0
3.718,2.288,-7.0881,84.8534,0
4.004,2.288,-4.7508,498.718,0
4.004,2.288,-10.7925,9.38045,0
4.29,2.288,1.5555,471.732,0
4.29,2.002,4.6425,738.902,0
