X,Y,Z,Q,A
7.15,3.432,-15.9963,51.529,0
7.15,5.148,-15.9963,51.529,2
8.866,4.29,-15.9963,51.529,2
7.15,5.148,-17.7162,24.5246,2
8.866,4.29,-17.7162,24.5246,0
3.146,1.716,29.4267,95.8669,0
4.004,3.432,29.4267,95.8669,2
7.436,5.148,-17.8044,24.3372,2
9.152,4.29,-17.8044,24.3372,0
5.72,3.432,3.0549,23.9985,0
4.004,3.432,3.0549,23.9985,2
4.862,1.716,3.0549,23.9985,2
3.432,1.716,29.1621,361.791,0
4.29,3.432,29.1621,361.791,2
6.006,3.432,3.0549,68.4452,0
4.29,3.432,3.0549,68.4452,2
5.148,1.716,3.0549,68.4452,2
4.29,3.432,21.4005,14.6724,2
5.148,1.716,21.4005,14.6724,0
6.006,3.432,21.4005,14.6724,2
4.576,3.432,24.0024,244.333,2
3.718,1.716,24.0024,244.333,0
3.718,10.296,24.0024,244.333,2
5.434,1.716,24.0024,244.333,2
4.576,3.432,21.5328,55.7323,2
5.434,1.716,21.5328,55.7323,0
6.292,3.432,21.5328,55.7323,2
4.576,3.432,7.6413,33.4696,2
6.292,3.432,7.6413,33.4696,2
5.434,1.716,7.6413,33.4696,0
4.862,3.432,7.4649,182.359,2
6.578,3.432,7.4649,182.359,2
5.72,1.716,7.4649,182.359,0
4.862,3.432,21.5328,42.7715,2
5.72,1.716,21.5328,42.7715,0
6.578,3.432,21.5328,42.7715,2
5.148,3.432,21.4005,10.5114,2
6.006,1.716,21.4005,10.5114,0
6.864,3.432,21.4005,10.5114,2
6.864,3.432,-1.3551,5.00774,0
7.15,3.146,-15.5994,69.1165,0
7.15,4.862,-15.5994,69.1165,2
8.866,4.004,-15.5994,69.1165,2
7.15,4.862,-17.5839,12.6645,2
8.866,4.004,-17.5839,12.6645,0
7.436,4.862,-17.8044,17.769,2
9.152,4.004,-17.8044,17.769,0
6.006,3.146,3.2313,37.8907,0
4.29,3.146,3.2313,37.8907,2
5.148,1.43,3.2313,37.8907,2
7.722,4.862,-17.9367,18.8395,0
9.438,4.004,-17.9367,18.8395,2
5.434,1.43,6.2742,14.5333,2
6.292,3.146,6.2742,14.5333,0
8.008,3.146,-28.7412,14.0193,0
8.008,3.146,-12.4683,9.67075,0
5.72,1.43,6.1419,213.101,2
6.578,3.146,6.1419,213.101,0
4.862,3.146,6.1419,213.101,2
6.578,3.146,-7.8819,26.0729,0
7.15,2.86,-15.423,112.874,0
7.15,4.576,-15.423,112.874,2
8.866,3.718,-15.423,112.874,2
7.436,4.576,-17.3634,20.9442,0
9.152,3.718,-17.3634,20.9442,2
7.436,2.86,-14.982,32.6048,0
7.436,4.576,-14.982,32.6048,2
9.152,3.718,-14.982,32.6048,2
6.006,2.86,3.4077,34.8244,0
4.29,2.86,3.4077,34.8244,2
5.148,1.144,3.4077,34.8244,2
7.722,4.576,-20.8914,98.0986,2
9.438,3.718,-20.8914,98.0986,2
7.722,2.86,-20.8914,98.0986,0
7.722,2.86,-28.5648,14.0495,0
8.008,2.86,-28.6089,68.034,0
8.008,2.86,-20.9796,77.6261,0
5.72,1.144,5.745,96.1511,2
6.578,2.86,5.745,96.1511,0
4.862,2.86,5.745,96.1511,2
6.578,2.86,-7.7055,35.0058,0
8.294,2.86,-28.7412,20.914,0
6.864,2.86,-7.6614,13.5052,0
7.15,2.574,-12.3801,401.164,0
7.15,4.29,-12.3801,401.164,2
7.436,2.574,-14.3646,340.043,0
7.436,4.29,-14.3646,340.043,2
9.152,3.432,-14.3646,340.043,2
4.862,0.858,4.7307,72.328,2
5.72,2.574,4.7307,72.328,0
4.004,2.574,4.7307,72.328,2
7.722,2.574,-17.2752,351.558,0
7.722,4.29,-17.2752,351.558,2
9.438,3.432,-17.2752,351.558,2
6.006,2.574,1.9083,277.107,0
4.29,2.574,1.9083,277.107,2
5.148,0.858,1.9083,277.107,2
6.292,2.574,-1.3551,337.249,0
8.008,2.574,-22.6554,239.156,0
6.292,2.574,3.4959,27.1737,0
4.576,2.574,3.4959,27.1737,2
5.434,0.858,3.4959,27.1737,2
8.008,4.29,-17.2311,17.4364,0
9.724,3.432,-17.2311,17.4364,2
6.578,2.574,-3.4278,352.26,0
8.294,2.574,-24.6399,196.487,0
8.294,4.29,-17.3193,25.1294,0
10.01,3.432,-17.3193,25.1294,2
5.72,0.858,5.1717,15.495,2
6.578,2.574,5.1717,15.495,0
4.862,2.574,5.1717,15.495,2
8.294,2.574,-28.7853,6.02986,0
6.864,2.574,-7.6173,354.473,0
8.58,4.29,-17.4516,22.0692,0
10.296,3.432,-17.4516,22.0692,2
8.58,2.574,-27.0213,96.1813,0
6.006,0.858,4.9071,30.3368,2
6.864,2.574,4.9071,30.3368,2
5.148,2.574,4.9071,30.3368,0
3.718,2.288,9.0966,455.777,2
5.434,2.288,9.0966,455.777,0
4.576,0.572,9.0966,455.777,2
7.15,4.004,-16.8783,22.6135,0
8.866,3.146,-16.8783,22.6135,2
3.718,2.288,20.6508,2.92723,2
4.576,0.572,20.6508,2.92723,2
5.434,2.288,20.6508,2.92723,0
4.004,2.288,20.2098,60.6433,0
4.862,0.572,20.2098,60.6433,2
5.72,2.288,20.2098,60.6433,2
4.004,2.288,5.6127,230.925,2
5.72,2.288,5.6127,230.925,0
4.862,0.572,5.6127,230.925,2
7.436,4.004,-16.9665,9.18691,0
9.152,3.146,-16.9665,9.18691,2
6.006,2.288,2.9667,140.967,0
4.29,2.288,2.9667,140.967,2
5.148,0.572,2.9667,140.967,2
4.29,2.288,20.4303,9.41674,0
5.148,0.572,20.4303,9.41674,2
6.006,2.288,20.4303,9.41674,2
6.292,2.288,2.8785,51.7406,0
4.576,2.288,2.8785,51.7406,2
5.434,0.572,2.8785,51.7406,2
6.292,2.288,-1.3551,26.5689,0
4.862,2.288,13.3743,129.113,0
6.578,2.288,13.3743,129.113,2
5.148,2.288,10.0227,445.278,0
6.864,2.288,10.0227,445.278,2
8.58,2.288,-27.3741,33.518,0
3.718,2.002,25.0167,542.983,0
2.86,0.286,25.0167,542.983,2
2.86,8.866,25.0167,542.983,2
4.576,0.286,25.0167,542.983,2
5.434,2.002,25.0167,542.983,2
3.718,2.002,8.4351,182.063,2
5.434,2.002,8.4351,182.063,0
4.576,0.286,8.4351,182.063,2
7.15,2.002,-16.4814,42.8682,2
7.15,3.718,-16.4814,42.8682,0
8.866,2.86,-16.4814,42.8682,2
4.576,0.286,5.7009,2.44339,2
5.434,2.002,5.7009,2.44339,0
3.718,2.002,5.7009,2.44339,2
4.004,2.002,21.621,410.248,0
3.146,0.286,21.621,410.248,2
3.146,8.866,21.621,410.248,2
4.862,0.286,21.621,410.248,2
5.72,2.002,21.621,410.248,2
4.004,2.002,10.0668,24.5004,2
5.72,2.002,10.0668,24.5004,0
4.004,2.002,7.7736,7.12454,2
5.72,2.002,7.7736,7.12454,0
4.862,0.286,7.7736,7.12454,2
4.29,2.002,21.3123,516.947,0
5.148,0.286,21.3123,516.947,2
6.006,2.002,21.3123,516.947,2
6.006,2.002,3.0108,8.77565,0
4.29,2.002,3.0108,8.77565,2
5.148,0.286,3.0108,8.77565,2
4.576,2.002,16.6818,399.93,0
4.576,2.002,21.0477,43.4307,0
5.434,0.286,21.0477,43.4307,2
6.292,2.002,21.0477,43.4307,2
4.862,2.002,14.124,270.944,0
6.578,2.002,14.124,270.944,2
4.862,2.002,21.0477,32.8044,0
5.72,0.286,21.0477,32.8044,2
6.578,2.002,21.0477,32.8044,2
6.578,2.002,2.7903,25.2867,0
4.862,2.002,2.7903,25.2867,2
5.72,0.286,2.7903,25.2867,2
4.29,0.286,26.9571,90.5265,2
5.148,2.002,26.9571,90.5265,0
5.148,2.002,21.2241,37.7698,0
6.006,0.286,21.2241,37.7698,2
6.864,2.002,21.2241,37.7698,2
5.148,2.002,10.2873,37.5097,0
6.864,2.002,10.2873,37.5097,2
5.148,2.002,9.273,5.81818,0
6.864,2.002,9.273,5.81818,2
