X,Y,Z,Q,A
2.86,8.58,5.304,96.5321,0
3.718,10.296,5.304,96.5321,2
3.718,10.296,24.6198,48.0332,0
3.432,10.01,20.3421,414.947,0
0.858,7.436,-14.7615,34.7337,0
3.718,10.01,22.8999,116.037,0
1.716,7.436,-16.6578,150.347,0
3.432,8.294,-16.6578,150.347,2
0.286,7.15,-9.249,92.8247,2
2.002,8.008,-9.249,92.8247,0
2.86,9.724,18.8427,10.3723,0
0.572,7.15,-7.5291,350.288,2
2.288,8.008,-7.5291,350.288,0
3.146,9.724,19.3719,47.7308,0
3.146,9.724,15.888,150.323,0
0.572,7.15,-13.4826,5.62464,2
2.288,8.008,-13.4826,5.62464,0
3.432,9.724,18.1812,631.502,0
0.858,7.15,-14.5851,8.28576,0
1.144,7.15,-14.1,71.9591,0
2.86,8.008,-14.1,71.9591,2
1.43,7.15,-18.2454,107.546,0
1.43,7.15,-12.9975,21.2769,0
3.146,8.008,-12.9975,21.2769,2
1.716,7.15,-18.2454,257.379,0
1.716,7.15,-12.777,38.8886,0
3.432,8.008,-12.777,38.8886,2
0.286,6.864,-11.9391,333.094,2
2.002,7.722,-11.9391,333.094,0
2.86,9.438,11.0811,93.5384,0
3.146,9.438,13.3302,486.447,0
0.572,6.864,-9.2049,23.7807,2
2.288,7.722,-9.2049,23.7807,0
1.144,6.864,-13.8354,14.6241,0
2.86,7.722,-13.8354,14.6241,2
1.43,6.864,-13.3062,49.134,0
3.146,7.722,-13.3062,49.134,2
1.43,6.864,-22.7877,227.786,0
1.716,6.864,-23.7579,14.9869,0
1.716,6.864,-20.7591,37.4674,0
2.86,9.152,9.714,392.382,0
2.002,7.436,9.714,392.382,2
0.286,6.578,-12.2919,212.291,2
2.002,7.436,-12.2919,212.291,0
3.146,9.152,9.6699,45.0032,0
1.144,6.578,-27.5064,38.5318,0
1.43,6.578,-24.9045,233.876,0
1.716,6.578,-23.8461,8.36438,0
2.002,7.15,5.4363,173.977,2
2.86,8.866,5.4363,173.977,0
3.146,8.866,24.3993,9.47117,0
