X,Y,Z,Q,A
5.434,6.864,14.9178,195.108,0
6.006,6.864,7.3326,256.599,2
6.006,5.148,7.3326,256.599,0
4.576,8.58,26.8248,272.668,0
6.292,8.58,26.8248,272.668,2
4.576,8.58,28.4565,10.2574,0
5.434,10.296,28.4565,10.2574,2
4.862,8.58,28.3683,70.9672,0
5.72,10.296,28.3683,70.9672,2
6.578,5.148,-2.1048,168.63,2
6.578,3.432,-2.1048,168.63,0
6.578,5.148,5.3481,7.05802,0
6.864,6.864,17.0787,151.291,0
5.434,6.578,15.1383,274.228,0
3.718,8.294,22.7676,23.6779,2
5.434,8.294,22.7676,23.6779,0
6.006,6.578,5.3922,163.979,2
6.006,4.862,5.3922,163.979,0
4.576,8.294,24.708,215.26,0
6.292,8.294,24.708,215.26,2
6.292,4.862,5.1717,64.6894,0
6.292,6.578,15.6234,8.35229,0
6.578,4.862,-3.4719,121.504,2
6.578,3.146,-3.4719,121.504,0
4.862,8.294,24.0465,79.6703,0
6.578,8.294,24.0465,79.6703,2
6.578,4.862,5.2158,35.1752,0
4.862,8.294,28.1478,20.4785,0
5.72,10.01,28.1478,20.4785,2
5.148,8.294,22.8117,38.175,0
6.864,8.294,22.8117,38.175,2
6.864,3.146,-3.5601,77.6442,0
5.434,6.292,13.9917,186.436,0
3.718,8.008,22.944,9.18691,2
5.434,8.008,22.944,9.18691,0
5.72,6.292,12.8451,30.1553,0
6.006,4.576,4.422,68.8746,0
4.29,8.008,23.4291,5.90285,2
6.006,8.008,23.4291,5.90285,0
6.292,4.576,4.3779,167.505,0
4.576,8.008,23.5614,60.4316,0
6.292,8.008,23.5614,60.4316,2
4.862,8.008,22.8558,299.678,0
6.578,8.008,22.8558,299.678,2
6.578,2.86,-4.7949,20.6055,0
6.864,2.86,-5.1036,169.58,0
5.148,8.008,23.0763,50.0532,0
6.864,8.008,23.0763,50.0532,2
5.434,6.006,12.4482,46.7873,0
5.434,4.29,12.4482,46.7873,2
5.72,6.006,11.919,211.033,0
5.72,4.29,11.919,211.033,2
6.292,4.29,2.658,167.505,0
4.576,7.722,23.385,19.7528,0
6.292,7.722,23.385,19.7528,2
4.862,7.722,21.8415,278.408,0
6.578,7.722,21.8415,278.408,2
5.148,7.722,23.1645,50.2891,0
6.864,7.722,23.1645,50.2891,2
5.148,7.722,20.9595,14.7269,0
3.718,7.436,28.5888,50.9907,2
4.576,9.152,28.5888,50.9907,0
5.72,5.72,10.0227,220.28,0
5.72,4.004,10.0227,220.28,2
6.006,5.72,9.8904,13.1786,0
6.006,4.004,9.8904,13.1786,2
6.292,4.004,1.335,134.731,0
4.862,7.436,20.4744,53.0289,0
6.578,4.004,0.4089,72.0377,0
5.148,7.436,20.2098,247.188,0
6.864,5.72,20.2098,247.188,2
5.148,7.436,29.5149,173.033,2
6.006,9.152,29.5149,173.033,0
3.718,7.15,28.4124,290.431,2
4.576,8.866,28.4124,290.431,0
5.434,7.15,28.4124,290.431,2
5.434,5.434,15.1824,95.0383,0
5.72,5.434,9.1407,86.4501,0
5.72,3.718,9.1407,86.4501,2
6.006,5.434,8.3469,164.772,0
6.006,3.718,8.3469,164.772,2
6.292,3.718,-0.1644,33.2035,0
6.292,2.002,-0.1644,33.2035,2
6.578,3.718,-0.3849,184.869,0
6.578,2.002,-0.3849,184.869,2
5.148,7.15,17.9607,275.299,0
6.864,5.434,17.9607,275.299,2
5.148,7.15,28.8093,6.91891,2
6.006,8.866,28.8093,6.91891,0
