X,Y,Z,Q,A
2.002,8.58,-20.3622,40.1406,2
3.718,8.58,-20.3622,40.1406,0
4.004,8.58,4.4661,685.051,0
4.862,10.296,26.4279,1.24589,0
2.574,6.864,-31.4313,22.7889,0
5.148,10.296,26.031,11.3823,0
2.86,6.864,-26.1393,338.422,0
3.432,8.58,-20.2299,20.66,0
5.148,8.58,-20.2299,20.66,2
6.006,10.296,26.4279,12.5073,0
3.718,8.294,-2.7222,197.032,0
4.004,8.294,1.3791,433.085,0
2.574,6.578,-31.6518,201.955,0
2.86,6.578,-31.0344,168.304,0
2.86,6.578,-34.1655,16.753,0
2.86,8.294,-20.2299,8.12246,0
4.576,8.294,-20.2299,8.12246,2
3.146,8.294,-20.0535,16.4264,0
4.862,8.294,-20.0535,16.4264,2
3.432,8.294,-19.9653,15.2893,0
5.148,8.294,-19.9653,15.2893,2
4.576,9.724,28.7211,162.776,0
3.718,8.008,-4.9713,458.396,0
4.862,9.724,29.5149,141.874,0
4.004,8.008,-2.7222,56.7302,0
2.574,6.292,-33.6363,18.0109,0
2.86,8.008,-20.0976,50.15,0
4.576,8.008,-20.0976,50.15,2
3.146,8.008,-20.2299,9.74938,0
4.862,8.008,-20.2299,9.74938,2
5.148,8.008,-3.957,25.1718,0
4.576,9.438,25.6782,849.163,0
2.288,7.722,-20.3622,21.1257,2
4.004,7.722,-20.3622,21.1257,0
4.862,9.438,28.8975,7.7233,0
2.574,7.722,-20.3622,23.2304,2
4.29,7.722,-20.3622,23.2304,0
2.86,7.722,-20.274,6.0601,0
4.576,7.722,-20.274,6.0601,2
3.146,7.722,-15.2466,127.655,0
4.862,7.722,-15.2466,127.655,2
2.002,7.436,-20.2299,21.8091,2
3.718,7.436,-20.2299,21.8091,0
2.288,7.436,-20.3622,8.03174,2
4.004,7.436,-20.3622,8.03174,0
2.86,7.436,-21.0678,50.0412,0
4.576,7.436,-21.0678,50.0412,2
3.146,7.436,-19.3038,425.64,0
4.862,7.436,-19.3038,425.64,2
3.432,7.436,-19.8771,42.6868,0
5.148,7.436,-19.8771,42.6868,2
3.432,7.436,-16.1727,38.9491,0
5.148,7.436,-16.1727,38.9491,2
2.574,7.15,-20.5386,23.4965,2
4.29,7.15,-20.5386,23.4965,0
2.86,7.15,-23.0523,237.027,0
4.576,7.15,-23.0523,237.027,2
4.004,8.866,10.3755,277.869,0
3.146,7.15,-23.0964,141.336,0
4.862,7.15,-23.0964,141.336,2
4.29,8.866,11.6544,649.337,0
