X,Y,Z,Q,A
3.718,8.58,-1.6197,130.353,2
5.434,8.58,-1.6197,130.353,0
4.576,10.296,-1.6197,130.353,2
5.434,6.864,28.2801,9.64051,0
6.006,6.864,14.2122,125.563,0
6.006,6.864,16.3731,15.1623,0
6.292,6.864,15.3588,206.467,0
6.578,6.864,16.9905,41.2655,0
6.578,8.58,-2.8986,16.8134,0
5.72,10.296,-2.8986,16.8134,2
5.148,8.58,-1.6197,347.337,0
6.864,8.58,-1.6197,347.337,2
6.006,10.296,-1.6197,347.337,2
6.006,10.296,-5.2359,19.5411,0
5.434,8.294,1.0263,388.009,0
3.718,8.294,1.0263,388.009,2
4.576,10.01,1.0263,388.009,2
5.72,6.578,16.2408,15.9607,0
6.006,6.578,16.1526,91.4095,0
6.292,6.578,17.1669,418.546,0
6.578,6.578,17.1228,25.0206,0
5.148,8.294,0.894,50.1621,0
6.864,8.294,0.894,50.1621,2
6.006,10.01,0.894,50.1621,2
5.434,8.008,2.8785,231.638,0
5.72,8.008,5.304,193.657,0
4.004,8.008,5.304,193.657,2
4.862,9.724,5.304,193.657,2
5.72,6.292,16.1085,24.9661,0
6.006,6.292,16.0644,37.8363,0
6.292,6.292,19.5483,167.3,0
6.578,6.292,21.18,249.159,0
6.578,6.006,23.3409,413.641,0
4.862,9.152,-7.1763,233.283,0
5.72,7.436,10.3314,177.539,0
6.006,7.436,10.4196,259.81,0
6.578,5.72,24.9726,152.893,0
6.864,5.72,26.8689,310.964,0
5.434,7.15,-2.8986,21.8091,2
4.576,8.866,-2.8986,21.8091,0
4.004,7.15,-2.8986,219.125,2
5.72,7.15,-2.8986,219.125,2
4.862,8.866,-2.8986,219.125,0
4.29,7.15,-5.1477,286.21,2
6.006,7.15,-5.1477,286.21,2
5.148,8.866,-5.1477,286.21,0
6.006,7.15,12.9333,351.788,0
6.578,5.434,16.9905,51.5169,0
6.864,5.434,28.9857,369.315,0
6.864,5.434,16.9023,6.53789,0
