X,Y,Z,Q,A
4.576,1.716,19.1955,48.1784,2
6.292,1.716,19.1955,48.1784,2
7.15,8.58,19.1955,48.1784,2
7.15,5.148,19.1955,48.1784,2
7.15,3.432,19.1955,48.1784,0
4.576,1.716,25.3254,9.0841,0
4.862,1.716,19.1955,10.6445,2
6.578,1.716,19.1955,10.6445,0
7.436,8.58,19.1955,10.6445,2
7.436,5.148,19.1955,10.6445,2
6.006,3.432,29.6031,50.144,0
5.148,1.716,29.6031,50.144,2
4.29,5.148,-16.3491,17.4485,0
4.29,6.864,-16.3491,17.4485,2
5.434,1.716,26.031,189.278,0
4.576,5.148,-16.305,205.106,0
4.576,6.864,-16.305,205.106,2
2.86,3.432,-28.7412,107.951,2
2.86,5.148,-28.7412,107.951,0
6.292,6.864,-0.1203,29.7441,0
8.008,5.148,16.9023,12.1746,2
8.008,3.432,16.9023,12.1746,0
8.008,8.58,16.9023,12.1746,2
5.434,1.716,24.8844,3.97958,0
6.292,3.432,28.1037,12.5617,0
5.434,1.716,28.1037,12.5617,2
8.294,8.58,16.9023,334.557,2
8.294,5.148,16.9023,334.557,2
8.294,3.432,16.9023,334.557,0
6.578,6.864,0.9822,216.246,0
4.862,5.148,-14.0559,161.996,0
4.862,6.864,-14.0559,161.996,2
3.146,3.432,-28.6089,94.9899,2
3.146,5.148,-28.6089,94.9899,0
5.72,1.716,26.5161,30.9718,0
5.72,1.716,24.9285,1.8023,0
8.58,8.58,18.534,47.4284,2
8.58,5.148,18.534,47.4284,2
8.58,3.432,18.534,47.4284,0
5.434,6.578,20.6508,91.3248,2
4.576,1.43,20.6508,91.3248,2
6.292,1.43,20.6508,91.3248,0
4.862,1.43,19.1073,38.9915,2
6.578,1.43,19.1073,38.9915,2
7.436,8.294,19.1073,38.9915,2
7.436,4.862,19.1073,38.9915,2
7.436,3.146,19.1073,38.9915,0
5.72,6.578,-3.1632,36.5844,0
4.862,1.43,20.3862,13.1544,2
6.578,1.43,20.3862,13.1544,0
6.006,3.146,29.4267,70.6588,0
5.148,1.43,29.4267,70.6588,2
6.006,6.578,-3.1191,74.2694,0
4.29,4.862,-17.8926,171.237,0
4.29,6.578,-17.8926,171.237,2
7.722,8.294,18.6663,15.7308,2
7.722,4.862,18.6663,15.7308,2
7.722,3.146,18.6663,15.7308,0
2.574,3.146,-31.6077,41.0115,0
2.574,3.146,-28.7853,9.25344,2
2.574,4.862,-28.7853,9.25344,0
5.434,1.43,22.9881,428.682,2
6.292,6.578,22.9881,428.682,2
7.15,1.43,22.9881,428.682,0
6.292,3.146,28.0155,215.188,0
5.434,1.43,28.0155,215.188,2
5.434,1.43,24.8403,26.1576,0
8.008,8.294,14.2122,255.661,0
6.292,6.578,-1.6638,157.671,0
2.86,3.146,-31.2108,79.7005,0
4.576,4.862,-16.6137,86.0509,0
4.576,6.578,-16.6137,86.0509,2
5.434,1.43,25.149,8.50349,0
8.294,8.294,15.4911,107.352,0
6.578,6.578,21.7533,33.3245,2
5.72,1.43,21.7533,33.3245,2
7.436,1.43,21.7533,33.3245,0
5.72,1.43,25.2372,4.93517,0
6.864,6.578,21.1359,72.3825,2
6.006,1.43,21.1359,72.3825,0
7.722,1.43,21.1359,72.3825,2
8.58,8.294,17.7402,19.4927,2
8.58,4.862,17.7402,19.4927,2
8.58,3.146,17.7402,19.4927,0
6.006,1.43,24.9285,2.4071,0
7.15,4.576,17.5197,23.0247,2
7.15,2.86,17.5197,23.0247,0
