X,Y,Z,Q,A
9.724,5.72,13.6389,13.9951,0
9.724,5.72,10.6842,15.2591,0
9.152,5.434,2.1729,220.45,0
9.438,5.434,7.0239,209.775,0
9.724,5.434,9.5376,138.124,0
10.01,5.434,18.5781,22.0208,0
10.01,5.434,14.8296,27.0467,0
10.01,5.434,7.95,9.01757,0
8.866,5.148,-1.9284,387.024,0
9.152,5.148,2.0847,360.951,0
9.438,5.148,7.7736,306.035,0
9.724,5.148,12.801,543.885,0
10.01,5.148,17.9166,779.109,0
10.01,5.148,8.0823,52.3696,0
10.01,5.148,23.4732,16.0151,0
10.296,5.148,23.4291,433.242,0
10.296,5.148,26.7807,39.3967,0
10.296,5.148,19.1073,11.6303,0
