X,Y,Z,Q,A
7.15,5.148,5.304,142.08,0
8.866,4.29,5.304,142.08,2
8.866,6.006,5.304,142.08,2
5.434,5.148,5.304,142.08,2
2.002,5.148,-10.6161,85.0712,2
5.434,5.148,-10.6161,85.0712,0
5.434,6.864,-10.6161,85.0712,2
3.718,3.432,-10.6161,85.0712,2
5.434,3.432,-10.6161,85.0712,2
5.434,5.148,-3.8688,123.657,0
2.002,5.148,-3.8688,123.657,2
2.002,5.148,-14.1441,21.5914,2
5.434,5.148,-14.1441,21.5914,0
5.434,6.864,-14.1441,21.5914,2
3.718,3.432,-14.1441,21.5914,2
5.434,3.432,-14.1441,21.5914,2
3.718,6.864,-14.1441,21.5914,2
2.002,3.432,-14.1441,21.5914,2
3.718,5.148,-14.1441,21.5914,2
8.866,6.006,16.0203,19.8737,0
7.15,8.58,16.0203,19.8737,2
7.15,5.148,16.0203,19.8737,2
8.866,4.29,16.0203,19.8737,2
8.866,6.006,19.5483,13.3177,0
7.15,8.58,19.5483,13.3177,2
7.15,6.864,19.5483,13.3177,2
5.434,8.58,26.0751,9.31997,2
8.866,7.722,26.0751,9.31997,2
8.866,6.006,26.0751,9.31997,0
7.15,8.58,26.0751,9.31997,2
7.436,5.148,6.5829,253.617,0
9.152,4.29,6.5829,253.617,2
9.152,6.006,6.5829,253.617,2
5.72,5.148,6.5829,253.617,2
9.152,6.006,19.5924,44.1867,0
7.436,8.58,19.5924,44.1867,2
7.436,6.864,19.5924,44.1867,2
5.72,6.864,-17.1429,36.9714,2
4.004,5.148,-17.1429,36.9714,0
5.72,3.432,-17.1429,36.9714,2
2.288,5.148,-14.1,19.6439,2
5.72,5.148,-14.1,19.6439,2
5.72,6.864,-14.1,19.6439,2
4.004,3.432,-14.1,19.6439,2
5.72,3.432,-14.1,19.6439,2
4.004,6.864,-14.1,19.6439,2
2.288,3.432,-14.1,19.6439,2
4.004,5.148,-14.1,19.6439,0
5.72,5.148,-2.5017,30.6634,0
2.288,5.148,-10.0869,14.4426,2
5.72,5.148,-10.0869,14.4426,0
5.72,6.864,-10.0869,14.4426,2
4.004,3.432,-10.0869,14.4426,2
2.288,5.148,-4.6185,16.5231,0
5.72,8.58,26.031,7.2576,2
9.152,7.722,26.031,7.2576,2
9.152,6.006,26.031,7.2576,0
7.436,8.58,26.031,7.2576,2
7.722,5.148,8.0823,411.318,0
9.438,4.29,8.0823,411.318,2
9.438,6.006,8.0823,411.318,2
6.006,5.148,8.0823,411.318,2
9.438,7.722,21.3123,92.9215,2
9.438,6.006,21.3123,92.9215,0
7.722,8.58,21.3123,92.9215,2
7.722,6.864,21.3123,92.9215,2
2.574,5.148,-13.9677,10.8683,2
6.006,5.148,-13.9677,10.8683,2
6.006,6.864,-13.9677,10.8683,2
4.29,3.432,-13.9677,10.8683,2
6.006,3.432,-13.9677,10.8683,2
4.29,6.864,-13.9677,10.8683,2
2.574,3.432,-13.9677,10.8683,2
4.29,5.148,-13.9677,10.8683,0
9.438,6.006,1.0263,7.48138,2
6.006,5.148,1.0263,7.48138,0
6.006,6.864,-17.0106,5.51578,2
6.006,3.432,-17.0106,5.51578,0
2.574,5.148,-4.6185,5.20128,0
2.86,5.148,-26.6244,192.556,0
2.86,6.864,-26.6244,192.556,2
9.724,6.006,13.9035,71.8019,2
8.008,8.58,13.9035,71.8019,2
8.008,5.148,13.9035,71.8019,0
9.724,4.29,13.9035,71.8019,2
2.86,5.148,-7.8378,56.6274,2
6.292,5.148,-7.8378,56.6274,0
6.292,6.864,-7.8378,56.6274,2
2.86,8.58,-31.6077,12.7673,0
2.86,5.148,-4.6185,13.4387,0
9.724,7.722,21.8856,11.8178,2
9.724,6.006,21.8856,11.8178,0
8.008,8.58,21.8856,11.8178,2
8.008,6.864,21.8856,11.8178,2
9.724,6.006,3.4959,6.97939,2
6.292,5.148,3.4959,6.97939,0
8.008,5.148,3.4959,6.97939,2
8.008,5.148,9.2289,11.8964,0
9.724,4.29,9.2289,11.8964,2
10.01,7.722,21.1359,114.894,2
10.01,6.006,21.1359,114.894,2
8.294,8.58,21.1359,114.894,2
8.294,6.864,21.1359,114.894,0
10.01,6.006,12.8892,134.205,2
8.294,8.58,12.8892,134.205,2
8.294,5.148,12.8892,134.205,0
10.01,4.29,12.8892,134.205,2
3.146,5.148,-6.7353,150.849,0
3.146,5.148,-12.777,36.4332,2
6.578,5.148,-12.777,36.4332,2
6.578,6.864,-12.777,36.4332,2
4.862,3.432,-12.777,36.4332,2
6.578,3.432,-12.777,36.4332,2
4.862,6.864,-12.777,36.4332,2
3.146,3.432,-12.777,36.4332,2
4.862,5.148,-12.777,36.4332,0
3.146,8.58,-31.6959,21.2406,0
3.146,5.148,-14.4969,13.7229,2
6.578,5.148,-14.4969,13.7229,2
6.578,6.864,-14.4969,13.7229,2
4.862,3.432,-14.4969,13.7229,2
6.578,3.432,-14.4969,13.7229,2
4.862,6.864,-14.4969,13.7229,2
3.146,3.432,-14.4969,13.7229,2
4.862,5.148,-14.4969,13.7229,0
3.146,5.148,-27.1536,15.3861,0
3.146,6.864,-27.1536,15.3861,2
6.578,8.58,26.031,5.64883,2
10.01,7.722,26.031,5.64883,2
10.01,6.006,26.031,5.64883,0
8.294,8.58,26.031,5.64883,2
10.01,6.006,4.2456,6.23549,2
6.578,5.148,4.2456,6.23549,0
8.294,5.148,4.2456,6.23549,2
3.432,5.148,-4.7949,188.304,0
3.432,5.148,-11.4099,94.1613,2
6.864,5.148,-11.4099,94.1613,2
6.864,6.864,-11.4099,94.1613,2
5.148,3.432,-11.4099,94.1613,2
6.864,3.432,-11.4099,94.1613,2
5.148,6.864,-11.4099,94.1613,2
3.432,3.432,-11.4099,94.1613,2
5.148,5.148,-11.4099,94.1613,0
3.432,5.148,-14.3646,26.6959,2
6.864,5.148,-14.3646,26.6959,2
6.864,6.864,-14.3646,26.6959,2
5.148,3.432,-14.3646,26.6959,2
6.864,3.432,-14.3646,26.6959,2
5.148,6.864,-14.3646,26.6959,2
3.432,3.432,-14.3646,26.6959,2
5.148,5.148,-14.3646,26.6959,0
6.006,10.296,-14.3646,26.6959,2
8.866,5.72,19.7247,88.446,0
7.15,8.294,19.7247,88.446,2
7.15,6.578,19.7247,88.446,2
7.15,4.862,3.7164,182.879,0
8.866,4.004,3.7164,182.879,2
8.866,5.72,3.7164,182.879,2
