X,Y,Z,Q,A
5.434,8.58,17.6961,708.203,0
4.576,10.296,17.6961,708.203,2
5.72,8.58,21.7533,411.718,0
5.72,8.58,17.6961,56.7665,0
4.862,10.296,17.6961,56.7665,2
6.006,8.58,27.9273,595.341,0
6.006,8.58,17.6961,13.2209,0
5.148,10.296,17.6961,13.2209,2
6.292,8.58,27.8391,44.1625,0
5.434,8.294,19.1955,203.334,0
4.576,10.01,19.1955,203.334,2
5.72,8.294,24.2229,139.715,0
6.578,9.724,-27.2859,52.5208,0
4.862,9.724,-15.3789,91.228,0
5.148,9.724,-17.8926,380.062,0
6.864,9.724,-28.8294,96.4535,0
5.434,9.724,-19.4802,143.126,0
7.15,9.724,-29.5791,110.884,0
7.436,9.724,-30.7698,105.278,0
7.722,9.724,-31.7841,67.6166,0
6.292,9.438,-24.9927,195.998,0
4.576,9.438,-8.367,186.145,0
4.862,9.438,-9.9105,606.584,0
6.578,9.438,-26.5362,135.929,0
6.864,9.438,-28.2561,89.4318,0
5.148,9.438,-14.2764,98.4554,0
5.148,9.438,-19.8771,6.99754,0
5.434,9.438,-20.6709,118.232,0
7.15,9.438,-28.9176,37.1771,0
4.576,9.152,-2.7663,864.604,0
4.862,9.152,-3.1191,21.5006,0
4.862,9.152,-9.0726,51.287,0
4.576,8.866,3.2313,536.863,0
4.862,8.866,7.3767,431.93,0
4.862,8.866,-3.1191,20.7749,0
6.578,7.15,17.5197,34.9332,2
5.72,8.866,17.5197,34.9332,0
6.864,7.15,17.5197,18.7307,2
6.006,8.866,17.5197,18.7307,0
